adresse;name;bytes;aufrufer;ruft_auf
0x0042ba49;FUN_0042ba49;163;1;2
0x0042baec;FUN_0042baec;2597;1;11
0x0042c511;FUN_0042c511;55;1;1
0x0042c548;FUN_0042c548;26;2;1
0x0042c562;FUN_0042c562;23;1;1
0x0042c579;FUN_0042c579;36;1;2
0x0042c5a0;_strlen;123;14;0
0x0042c61b;FUN_0042c61b;280;4;4
0x0042c733;FUN_0042c733;1825;3;11
0x0042ce74;FUN_0042ce74;53;3;1
0x0042cea9;FUN_0042cea9;49;1;1
0x0042ceda;FUN_0042ceda;56;1;1
0x0042cf12;FUN_0042cf12;13;1;0
0x0042cf1f;FUN_0042cf1f;16;1;0
0x0042cf2f;FUN_0042cf2f;14;1;0
0x0042cf3d;FUN_0042cf3d;45;1;2
0x0042cf6a;FUN_0042cf6a;17;12;1
0x0042cf7b;__exit;17;3;1
0x0042cf8c;FUN_0042cf8c;163;2;6
0x0042d031;FUN_0042d031;9;2;1
0x0042d03a;FUN_0042d03a;9;2;1
0x0042d043;FUN_0042d043;26;2;0
0x0042d05d;FUN_0042d05d;781;3;17
0x0042d1e8;FUN_0042d1e8;9;1;1
0x0042d336;FUN_0042d336;11;1;1
0x0042d38c;FUN_0042d38c;214;1;6
0x0042d3f6;FUN_0042d3f6;9;1;1
0x0042d471;FUN_0042d471;9;1;1
0x0042d47a;_malloc;18;30;1
0x0042d48c;__nh_malloc;44;1;2
0x0042d4b8;FUN_0042d4b8;231;1;6
0x0042d51f;FUN_0042d51f;9;1;1
0x0042d57e;FUN_0042d57e;9;1;1
0x0042d5b4;FUN_0042d5b4;318;0;3
0x0042d6f2;FUN_0042d6f2;58;1;0
0x0042d72c;FUN_0042d72c;88;1;2
0x0042d784;FUN_0042d784;185;1;6
0x0042d83d;FUN_0042d83d;153;1;5
0x0042d8d6;FUN_0042d8d6;436;1;0
0x0042da8a;FUN_0042da8a;306;1;8
0x0042dbbc;FUN_0042dbbc;444;1;6
0x0042dd78;FUN_0042dd78;84;1;6
0x0042ddcc;FUN_0042ddcc;19;2;0
0x0042dddf;FUN_0042dddf;103;15;8
0x0042de46;FUN_0042de46;45;1;1
0x0042de73;FUN_0042de73;328;1;9
0x0042dfbb;FUN_0042dfbb;93;1;5
0x0042e018;__global_unwind2;32;1;1
0x0042e05a;__local_unwind2;104;2;1
0x0042e0c2;__abnormal_termination;35;1;0
0x0042e0e5;__NLG_Notify1;9;1;0
0x0042e0ee;FUN_0042e0ee;24;2;0
0x0042e1cd;FUN_0042e1cd;27;0;1
0x0042e1e8;FUN_0042e1e8;57;2;1
0x0042e221;FUN_0042e221;339;4;8
0x0042e374;FUN_0042e374;53;1;2
0x0042e3a9;FUN_0042e3a9;22;1;1
0x0042e3bf;FUN_0042e3bf;146;1;0
0x0042e451;FUN_0042e451;137;1;0
0x0042e4da;FUN_0042e4da;117;18;1
0x0042e54f;FUN_0042e54f;111;2;5
0x0042e5be;FUN_0042e5be;203;3;2
0x0042e689;FUN_0042e689;73;1;0
0x0042e6d2;FUN_0042e6d2;86;1;1
0x0042e728;FUN_0042e728;140;1;2
0x0042e7b4;FUN_0042e7b4;27;1;0
0x0042e7cf;FUN_0042e7cf;12;1;0
0x0042e7db;FUN_0042e7db;27;1;0
0x0042e7f6;FUN_0042e7f6;141;1;0
0x0042e883;FUN_0042e883;364;2;5
0x0042e9ef;FUN_0042e9ef;22;2;1
0x0042ea05;FUN_0042ea05;22;1;1
0x0042ea1b;FUN_0042ea1b;45;1;2
0x0042ea48;FUN_0042ea48;45;1;2
0x0042ea75;FUN_0042ea75;119;3;2
0x0042eaec;FUN_0042eaec;92;3;3
0x0042eb48;FUN_0042eb48;182;1;0
0x0042ec00;FUN_0042ec00;7;8;0
0x0042ec10;FUN_0042ec10;224;1;0
0x0042ecf0;_memset;88;7;0
0x0042ed50;FUN_0042ed50;664;8;0
0x0042f085;FUN_0042f085;9;2;1
0x0042f08e;FUN_0042f08e;115;7;2
0x0042f101;FUN_0042f101;9;26;1
0x0042f10a;FUN_0042f10a;9;14;1
0x0042f113;FUN_0042f113;208;2;5
0x0042f1e3;FUN_0042f1e3;93;2;5
0x0042f240;FUN_0042f240;201;1;2
0x0042f309;FUN_0042f309;40;1;1
0x0042f331;FUN_0042f331;40;3;1
0x0042f360;__allmul;52;3;0
0x0042f3a0;__allshl;31;1;0
0x0042f3bf;FUN_0042f3bf;220;3;2
0x0042f49b;FUN_0042f49b;41;1;3
0x0042f4c4;FUN_0042f4c4;110;2;1
0x0042f532;FUN_0042f532;101;3;5
0x0042f597;FUN_0042f597;115;5;5
0x0042f60a;FUN_0042f60a;101;3;5
0x0042f66f;FUN_0042f66f;395;2;6
0x0042f7fa;FUN_0042f7fa;68;3;1
0x0042f83e;FUN_0042f83e;41;2;0
